post_id,post_type,content_category,likes,shares,comments,user_sentiment
1,reel,sports,1137,345,162,positive
2,carousel,gaming,894,479,158,positive
3,text,news,2077,159,77,positive
4,text,nature,334,50,78,negative
5,reel,food,1610,186,181,positive
6,video,education,2771,523,131,negative
7,text,motivation,256,198,177,positive
8,carousel,sports,424,299,48,positive
9,carousel,art,1175,134,138,negative
10,static_image,food,1882,581,103,positive
11,text,pets,1178,452,57,negative
12,video,gaming,1846,417,19,positive
13,video,education,1856,176,12,negative
14,carousel,education,1087,538,166,positive
15,text,education,2315,450,34,negative
16,reel,food,2865,270,44,negative
17,static_image,nature,1227,227,82,neutral
18,static_image,science,1237,280,21,neutral
19,video,technology,1086,96,190,neutral
20,video,health,1776,163,139,positive
21,static_image,science,2203,174,120,negative
22,carousel,history,2646,426,135,neutral
23,video,fitness,657,119,110,neutral
24,static_image,pets,2457,456,32,positive
25,text,books,907,218,116,neutral
